Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce,Nazev prodejce
BMW Řada 6,650ix,759 000 Kč,2011,65000km,neuvedeno,Velmi dobrý,330 kW / 449 PS,4 395 cm³,benzin,aut. převodovka,kupé,3 dveře,5 míst,černá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW Řada 6,640i xDrive Gran Turismo,999 000 Kč,1/2021,87399km,1/2025,Perfektní,245 kW / 333 PS,2 998 cm³,benzin,aut. převodovka,liftback,5 dveří,5 míst,červená metalíza,Jenisov 187 Karlovy Vary 36001,"DyCom Group, s.r.o."
BMW Řada 6,630d xDrive Gran Turismo,729 000 Kč,4/2018,134800km,7/2026,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,světle modrá metalíza,Na Dlouhé louce 1730 Č. Budějovice 37011,MACH MOTORS s.r.o.
BMW Řada 6,GT 640i xDrive LUXURY LINE CZ,779 000 Kč,1/2020,158315km,1/2026,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,vínová metalíza,K Chotobuzi 333 Čestlice 25101,Albion Cars Praha
BMW Řada 6,640 d xDrive,899 900 Kč,4/2019,101000km,neuvedeno,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,3 dveře,4 místa,modrá metalíza,Poříčí 851 Boršov nad Vltavou 37382,"G-car s.r.o. - roční vozy Audi, Škoda, VW, MB"
BMW Řada 6,640d GT xDrive Mpaket,999 000 Kč,10/2018,72200km,10/2026,Velmi dobrý,235 kW / 320 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,šedá metalíza,Na Dlouhé louce 1730 Č. Budějovice 37011,MACH MOTORS s.r.o.
BMW Řada 6,GT 640i Luxury Line,1 050 000 Kč,2018,151997km,8/2026,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,sedan,5 dveří,5 míst,hnědá,Bylany 147 Bylany 53801,Auto-RE
BMW Řada 6,"GT 640i xDrive,ČR,1.Maj.S.kn.",724 800 Kč,2019,188000km,3/2025,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,sedan,5 dveří,5 míst,světle hnědá metalíza,Libeňský ostrov Praha-8 18000,Autobazar KONY
BMW Řada 6,3.0 GT /195kW,779 000 Kč,2018,164000km,2/2025,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,hatchback,5 dveří,5 míst,černá,,Dominik
BMW Řada 6,640d GT xDrive M-Sport,899 900 Kč,2/2019,120170km,neuvedeno,Perfektní,235 kW / 320 PS,2 993 cm³,nafta,aut. převodovka,liftback,neuvedeno,neuvedeno,bílá metalíza,Poříčí 851 Boršov nad Vltavou 37382,"G-car s.r.o. - roční vozy Audi, Škoda, VW, MB"
BMW Řada 6,640i xDrive Gran Turismo,1 199 000 Kč,2022,45000km,7/2026,Perfektní,245 kW / 333 PS,2 998 cm³,benzin,aut. převodovka,liftback,4 dveře,5 míst,šedá metalíza,Ruská 3018 Ostrava-Moravská Ostrava 70300,CarTec Ostrava s.r.o.
BMW Řada 6,640i xDrive 250kW,1 099 900 Kč,11/2018,56000km,neuvedeno,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,liftback,5 dveří,5 míst,šedá,Poříčí 851 Boršov nad Vltavou 37382,"G-car s.r.o. - roční vozy Audi, Škoda, VW, MB"
BMW Řada 6,"640d xDrive GT, vzduch, masáže",899 000 Kč,10/2019,107950km,9/2025,Velmi dobrý,235 kW / 320 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,černá metalíza,Hodkovická 135 Liberec 46312,AUTA JODR
BMW Řada 6,630d xDrive Gran Turismo,828 000 Kč,2017,58000km,neuvedeno,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,liftback,4 dveře,5 míst,stříbrná metalíza,Průběžná 76 Praha 10 10000,CarTec Praha s. r. o.
BMW Řada 6,640d xDrive Gran Turismo,1 199 000 Kč,11/2021,94485km,neuvedeno,Perfektní,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,hnědá,Řípská 5c Brno - Slatina 62700,"Renocar, a.s. - Brno"
BMW Řada 6,640d xDrive Gran Turismo,1 240 250 Kč,6/2021,50000km,neuvedeno,neuvedeno,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,sedan,5 dveří,5 míst,černá metalíza,Březhradská 195 Hradec Králové - Březhrad 50332,BMW AutoWallis Hradec Králové
BMW Řada 6,640i xDrive Gran Turismo,1 399 000 Kč,2020,42000km,8/2028,Velmi dobrý,245 kW / 333 PS,2 998 cm³,benzin,aut. převodovka,liftback,4 dveře,5 míst,šedá metalíza,Ruská 3018 Ostrava-Moravská Ostrava 70300,CarTec Ostrava s.r.o.
BMW Řada 6,"640d GT, masáže, TV, záruka",2 298 999 Kč,2022,9900km,neuvedeno,Předváděcí vozidlo,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,šedá metalíza,Na Dlouhé louce 1730 Č. Budějovice 37011,MACH MOTORS s.r.o.
BMW Řada 6,M640d xD GT MOŽNOST NÁJMU,2 411 862 Kč,2022,6200km,neuvedeno,Perfektní,250 kW / 340 PS,2 998 cm³,nafta,aut. převodovka,liftback,neuvedeno,neuvedeno,šedá metalíza,V Horkách 1735/21 Praha 4 - Nusle 14000,SIMPLY BUSSINES&FINANCING s.r.o.
BMW Řada 6,640d xD GT MOŽNOST NÁJMU,2 215 384 Kč,2023,6200km,neuvedeno,Perfektní,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,liftback,neuvedeno,neuvedeno,šedá metalíza,V Horkách 1735/21 Praha 4 - Nusle 14000,SIMPLY BUSSINES&FINANCING s.r.o.
BMW Řada 6,630d xDrive Gran Turismo,1 499 000 Kč,3/2023,55000km,3/2027,Nové vozidlo,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,hatchback,5 dveří,5 míst,bílá metalíza,Tř.T.Bati 400 Zlín 76001,Synot Auto Zlín - BMW se zárukou stavu a původu
BMW Řada 6,GT 630d xDrive Luxury FCL Gar,1 289 000 Kč,8/2022,49000km,neuvedeno,Perfektní,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,tmavě modrá metalíza,Pražská třída 24/138 Hradec Králové 50004,EXCLUSIVE CAR
BMW Řada 6,"630d xDrive GT, 2023, záruka",1 644 390 Kč,2/2023,29000km,neuvedeno,Předváděcí vozidlo,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,bílá metalíza,Na Dlouhé louce 1730 Č. Budějovice 37011,MACH MOTORS s.r.o.
BMW Řada 6,640i xDrive Gran Turismo,1 699 000 Kč,2023,23000km,neuvedeno,Velmi dobrý,245 kW / 333 PS,2 998 cm³,benzin,aut. převodovka,liftback,4 dveře,5 míst,šedá metalíza,Tovární 1b Olomouc 77900,CarTec Olomouc s.r.o.
BMW Řada 6,630d xDrive GT M-Sport,1 625 000 Kč,5/2023,14100km,neuvedeno,Velmi dobrý,210 kW / 286 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,bílá metalíza,Jenisov 187 Karlovy Vary 36001,"DyCom Group, s.r.o."
BMW Řada 6,640i xD M-Sport Pano Laser HUD,1 529 000 Kč,9/2022,39500km,neuvedeno,neuvedeno,245 kW / 333 PS,2 998 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,šedá,Holečkova 657/29 Praha 15000,Automaton s.r.o.
